epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3379,4.89891,6.46672,2.35951,0.00061,0.03313,0.00032,9e-05,4.22818,5.41247,1.71282,0.00042,0.00042,0.00042
2,50.3553,3.48242,4.10619,1.31478,0.00278,0.1506,0.00179,0.00035,3.33444,4.37856,1.36679,0.0008213,0.0008213,0.0008213
3,75.6956,3.11533,3.46,1.24063,0.01417,0.76807,0.09952,0.02834,2.89372,3.486,1.20431,0.001183,0.001183,0.001183
4,100.596,2.8835,3.26745,1.2275,0.70052,0.09639,0.27677,0.08023,2.66658,2.96409,1.19034,0.0015051,0.0015051,0.0015051
5,125.602,2.97633,2.95903,1.18106,0.39837,0.1506,0.22608,0.06161,2.87701,2.89733,1.21022,0.00164,0.00164,0.00164
6,150.81,2.78617,2.54462,1.09931,0.38173,0.43976,0.34722,0.0939,2.64793,2.31076,1.16914,0.00155,0.00155,0.00155
7,176.932,2.70975,2.44875,1.12109,0.42381,0.45482,0.38839,0.11537,2.50437,2.18648,1.15406,0.00146,0.00146,0.00146
8,201.759,2.6734,2.34873,1.12628,0.46633,0.62048,0.5033,0.16427,2.36125,1.85495,1.1012,0.00137,0.00137,0.00137
9,226.685,2.64573,2.1192,1.14644,0.47807,0.67593,0.49545,0.16127,2.37273,1.85708,1.10362,0.00128,0.00128,0.00128
10,252.035,2.53386,2.10271,1.12625,0.53158,0.63578,0.53717,0.1731,2.35811,1.80721,1.09701,0.00119,0.00119,0.00119
11,276.981,2.67682,2.96483,1.13309,0.53056,0.56627,0.49701,0.16618,2.34288,2.05015,1.10392,0.0011,0.0011,0.0011
12,301.842,2.49474,2.71307,1.06651,0.53533,0.53786,0.49342,0.15001,2.40783,1.89583,1.10455,0.00101,0.00101,0.00101
13,326.592,2.5963,2.59282,1.08228,0.55489,0.59036,0.50027,0.15981,2.51864,1.83134,1.13551,0.00092,0.00092,0.00092
14,351.436,2.58871,2.57239,1.12029,0.62941,0.66505,0.61672,0.20642,2.35008,1.70691,1.08722,0.00083,0.00083,0.00083
15,376.57,2.49331,2.43641,1.07396,0.57165,0.70181,0.6061,0.2155,2.27039,1.6818,1.06294,0.00074,0.00074,0.00074
16,404.824,2.46947,2.49392,1.06581,0.59301,0.6747,0.60539,0.20462,2.32932,1.64636,1.06641,0.00065,0.00065,0.00065
17,431.251,2.54688,2.42219,1.08509,0.60248,0.68072,0.60474,0.20355,2.37152,1.65643,1.08107,0.00056,0.00056,0.00056
18,456.544,2.48435,2.29244,1.07995,0.65217,0.68333,0.64586,0.22868,2.23266,1.58105,1.05818,0.00047,0.00047,0.00047
19,481.644,2.3679,2.17881,1.07555,0.63413,0.663,0.62887,0.21832,2.29947,1.60512,1.07353,0.00038,0.00038,0.00038
20,506.861,2.43489,2.25997,1.08114,0.63775,0.66867,0.61921,0.21698,2.35916,1.59676,1.0858,0.00029,0.00029,0.00029
